iter	Passed	Remaining
0	0	65
1	1	60
2	1	58
3	2	52
4	3	57
5	3	56
6	4	55
7	4	55
8	5	55
9	6	54
10	6	54
11	7	53
12	7	53
13	8	52
14	9	52
15	9	51
16	10	50
17	10	50
18	11	49
19	12	48
20	12	47
21	13	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	41
28	16	41
29	17	40
30	18	40
31	18	39
32	19	38
33	19	38
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	23	31
43	24	31
44	24	30
45	25	29
46	25	29
47	26	28
48	27	28
49	27	27
50	28	26
51	28	26
52	29	25
53	29	25
54	29	24
55	30	23
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	14
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
